model_id,sample_id,patient_id,parent_id,model_name,synonyms,tissue,cancer_type,cancer_type_ncit_id,tissue_status,sample_site,cancer_type_detail,model_type,growth_properties,model_treatment,sampling_day,sampling_month,sampling_year,doi,pmed,msi_status,ploidy_snp6,ploidy_wes,ploidy_wgs,mutational_burden,model_comments,model_relations_comment,COSMIC_ID,BROAD_ID,CCLE_ID,RRID,HCMI,suppliers,supplier,cat_number,species,gender,ethnicity,age_at_sampling,family_history_of_cancer,prior_same_malignancy,prior_other_malignancy,smoking_status,alcohol_exposure_intensity,alcohol_consumption_per_week,history_diabetes,diabetes_treatment,colorectal_cancer_risk_factors,patient_history_of_gastrointestinal_disorder,gastrointestinal_disorder_diagnosed,prior_synchronous_colon_rectal_tumours,history_prior_colon_polyps,previous_current_barretts_oesophagus,reflux_disease_prior,reflux_disease_treatment,h_pylori_infection,history_clinical_chronic_pancreatitis,tumour_grade,tnm_integrated,tnm_t,tnm_n,tnm_m,clinical_staging,metastasis_at_diagnosis,metastatic_site_at_diagnosis,method_procurement,sample_treatment,sample_treatment_details,radiation_type,prior_therapy_outcome,tumour_regression_score,colon_polyps_present_at_time_of_tissue_collection,venous_invasion_present,venous_invasion_type,lymphatic_invasion_present,perineural_invasion_present,gastric_oesophageal_junction,barretts_goblet_cells_present,oesophageal_columnar_metaplasia,goblet_cells_oesophageal_columnar_mucosa,degree_of_dysplasia_non_cancerous_oesophageal_columnar_mucosa,peripancreatic_lymph_nodes_tested_surgery,number_positive_peripancreatic_lymph_nodes,mlh1_expression_by_ihc,mlh1_promoter_methylation_status,msh2_expression_by_ihc,pms2_expression_by_ihc,msh6_expression_by_ihc,braf_mutation_identified,braf_expression_by_ihc,pik3ca_mutation_identified,pten_expression_by_ihc,pten_mutation_identified,kras_mutation_identified,mismatch_repair_status,preoperative_ce_alevel,crispr_ko_data
SIDM01262,SIDS00056,SIDP00044,SIDM01254,2B8,,Haematopoietic and Lymphoid,Burkitt's Lymphoma,C27694,Tumour,Ascites,Epstein-Barr Virus-Related Burkitt s Lymphoma,Cell Line,Suspension,,,,,,,,,,,,,P3HR-1 is a clonally derived subline of Jiyoye.;2B8 is a HAT sensitive fusion cell line derived from the P3HR-1 (ATCC).,,,,CVCL_6354,,ATCC:CRL-12569,ATCC,CRL-12569,Homo Sapiens,Male,Black,7,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01264,SIDS00203,SIDP00165,SIDM00624,MM1R,,Haematopoietic and Lymphoid,Plasma Cell Myeloma,C3242,Tumour,Peripheral Blood,Plasma Cell Myeloma,Cell Line,Semi-Adherent,Dexamethasone,,,1986,,,,,,,,,MM1R is a dexamethasone resistant line derived from MM1. ;MM1S is a dexamethasone sensitive line derived from MM1 (ATCC).,,,,CVCL_8794,,ATCC:CRL-2975,ATCC,CRL-2975,Homo Sapiens,Female,Black,42,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Steroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00067,SIDS00755,SIDP00678,,HCE-7,HCE-7 (NM),Esophagus,Esophageal Squamous Cell Carcinoma,C4024,Unknown,Unknown,Esophageal Squamous Cell Carcinoma,Cell Line,Unknown,,,,,,,,,,,,,,998179,,,CVCL_5138,,Unknown:Unknown,Unknown,Unknown,Homo Sapiens,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00226,SIDS00597,SIDP00527,,IMR-32,GM03320,Peripheral Nervous System,Neuroblastoma,C3270,Metastasis,Abdominal Mass,Neuroblastoma,Cell Line,Adherent,,,,,,,,,,,,,IMR-5 is a subclone of IMR-32 (DOI: 10.1016/S0304-3835(02)00581-5).,998183,ACH-000310,IMR32_AUTONOMIC_GANGLIA,CVCL_0346,,ATCC:CCL-127,ATCC,CCL-127,Homo Sapiens,Male,White,1.083,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00940,SIDS00467,SIDP00404,,CAL-120,,Breast,Breast Carcinoma,C4872,Metastasis,Pleural Effusion,Breast Carcinoma,Cell Line,Adherent,,,,1991,,,MSS,3.197696217,4.579390823,,23.45,,,906826,ACH-000212,CAL120_BREAST,CVCL_1104,,DSMZ:ACC-459,DSMZ,ACC-459,Homo Sapiens,Female,Unknown,43,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01195,SIDS00413,SIDP00356,,U-937,,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,C8263,Metastasis,Unknown,Adult Acute Monocytic Leukemia,Cell Line,Suspension,,,,,,,,,2.552676099,,25.61,,TUR (TPA U937 Resistant) is a stably transfected cell line generated by Ralf Hass and Masanori Hirano in 1992 from U-937 (ATCC).,998206,ACH-000406,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_0007,,ATCC:CRL-1593.2,ATCC,CRL-1593.2,Homo Sapiens,Male,White,37,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00997,SIDS00448,SIDP00385,,8305C,8305C_1,Thyroid,Thyroid Gland Carcinoma,C3878,Tumour,Thyroid,Anaplastic Thyroid Carcinoma,Cell Line,Adherent,,,,,,,MSS,3.094779312,3.041743564,,29.39,,,906795,ACH-001306,8305C_THYROID,CVCL_1053,,JCRB:JCRB0824,JCRB,JCRB0824,Homo Sapiens,Female,Unknown,67,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00996,SIDS00449,SIDP00386,,8505C,,Thyroid,Thyroid Gland Carcinoma,C3878,Tumour,Thyroid,Anaplastic Thyroid Carcinoma,Cell Line,Adherent,,,,,,,MSS,3.000859437,3.002231677,,30.58,,,924102,ACH-001307,8505C_THYROID,CVCL_1054,,JCRB:JCRB0826,JCRB,JCRB0826,Homo Sapiens,Female,Unknown,78,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00986,SIDS00459,SIDP00396,,BHY,,Head and Neck,Head and Neck Carcinoma,C34447,Tumour,Unknown,Head and Neck Squamous Cell Carcinoma,Cell Line,Adherent,,,,,,,MSS,2.926313201,2.924033125,,33.82,,,753535,ACH-000548,BHY_UPPER_AERODIGESTIVE_TRACT,CVCL_1086,,DSMZ:ACC-404,DSMZ,ACC-404,Homo Sapiens,Male,East Asian,52,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00962,SIDS00464,SIDP00401,,BV-173,,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,C3174,Tumour,Peripheral Blood,Chronic Myelogenous Leukemia,Cell Line,Suspension,,,,1980,,,MSS,2.0048113,2.101008463,,32.87,,,910710,ACH-000432,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_0181,,DSMZ:ACC-20,DSMZ,ACC-20,Homo Sapiens,Male,Unknown,45,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00961,SIDS00465,SIDP00402,,CADO-ES1,ESCADO1,Bone,Ewing's Sarcoma,C4817,Metastasis,Pleural Effusion,Ewing's Sarcoma,Cell Line,Adherent,,,,,,,MSS,2.061739639,2.095406654,,28.97,,,753539,ACH-000210,CADOES1_BONE,CVCL_1103,,DSMZ:ACC-255,DSMZ,ACC-255,Homo Sapiens,Female,East Asian,19,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00939,SIDS00468,SIDP00405,,CAL-12T,,Lung,Non-Small Cell Lung Carcinoma,C2926,Tumour,Unknown,Non-Small Cell Lung Carcinoma,Cell Line,Adherent,,,,1981,,,MSS,2.4042772,2.554829777,,75.87,,,753540,ACH-000826,CAL12T_LUNG,CVCL_1105,,DSMZ:ACC-443,DSMZ,ACC-443,Homo Sapiens,Male,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00937,SIDS00470,SIDP00407,,CAL-27,,Head and Neck,Oral Cavity Carcinoma,C4648,Tumour,Tongue,Tongue Squamous Cell Carcinoma,Cell Line,Adherent,,,,1982,,,MSS,1.935470847,2.004078178,,43.89,,,910916,ACH-000832,CAL27_UPPER_AERODIGESTIVE_TRACT,CVCL_1107,,DSMZ:ACC-446,DSMZ,ACC-446,Homo Sapiens,Male,Unknown,56,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00942,SIDS00472,SIDP00409,,CAL-33,,Head and Neck,Oral Cavity Carcinoma,C4648,Tumour,Tongue,Tongue Squamous Cell Carcinoma,Cell Line,Adherent,,,,1983,,,MSS,2.088865963,2.129998933,,33.61,,,753541,ACH-000518,CAL33_UPPER_AERODIGESTIVE_TRACT,CVCL_1108,,DSMZ:ACC-447,DSMZ,ACC-447,Homo Sapiens,Male,Unknown,69,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00935,SIDS00473,SIDP00410,,CAL-39,,Vulva,Other Solid Cancers,C4052,Tumour,Vulva,Vulvar Squamous Cell Carcinoma,Cell Line,Adherent,,,,1984,,,MSS,2.537414861,2.866238902,,47.68,,,924107,ACH-002091,CAL39_VULVA,CVCL_1109,,DSMZ:ACC-187,DSMZ,ACC-187,Homo Sapiens,Female,Unknown,76,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00932,SIDS00475,SIDP00412,,CAL-54,,Kidney,Kidney Carcinoma,C9385,Metastasis,Pleural Effusion,Renal Cell Carcinoma,Cell Line,Adherent,,,,1987,,,MSS,2.345081379,2.461584618,,24.42,,,910952,ACH-000457,CAL54_KIDNEY,CVCL_1111,,DSMZ:ACC-365,DSMZ,ACC-365,Homo Sapiens,Male,Unknown,75,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00929,SIDS00478,SIDP00415,,CAL-78,,Bone,Chondrosarcoma,C2946,Tumour,Thigh muscle,Chondrosarcoma,Cell Line,Adherent,,,,1989,,,MSS,3.424897378,3.849119639,,36.68,,,1290765,ACH-000516,CAL78_BONE,CVCL_1809,,DSMZ:ACC-449,DSMZ,ACC-449,Homo Sapiens,Male,Unknown,76,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00956,SIDS00488,SIDP00425,,COLO-680N,,Esophagus,Esophageal Squamous Cell Carcinoma,C4024,Tumour,Oesophagus,Esophageal Squamous Cell Carcinoma,Cell Line,Adherent,,,,1985,,,MSS,2.884456635,3.037308188,,41.71,,,906817,ACH-000717,COLO680N_OESOPHAGUS,CVCL_1131,,DSMZ:ACC-182,DSMZ,ACC-182,Homo Sapiens,Female,Black,57,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00954,SIDS00490,SIDP00427,,COLO-824,,Breast,Breast Carcinoma,C4872,Metastasis,Peripheral Fluid,Breast Carcinoma,Cell Line,Adherent,,,,1991,,,MSS,2.438587423,2.592731498,,50.29,,,906812,ACH-001820,COLO824_BREAST,CVCL_1136,,DSMZ:ACC-200,DSMZ,ACC-200,Homo Sapiens,Female,Unknown,52,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00953,SIDS00491,SIDP00428,,CPC-N,,Lung,Small Cell Lung Carcinoma,C4917,Metastasis,Pleural Effusion,Small Cell Lung Carcinoma,Cell Line,Suspension,,,,1987,,,MSS,2.069793945,2.143047686,,45.47,,,753547,ACH-001049,CPCN_LUNG,CVCL_1146,,DSMZ:ACC-306,DSMZ,ACC-306,Homo Sapiens,Male,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00943,SIDS00481,SIDP00418,,CAPAN-2,,Pancreas,Pancreatic Carcinoma,C9120,Tumour,Unknown,Pancreatic Ductal Adenocarcinoma,Cell Line,Adherent,,,,1975,,,MSS,3.216258012,3.353239869,,21.53,,,910915,ACH-000107,CAPAN2_PANCREAS,CVCL_0026,,DSMZ:ACC-245,DSMZ,ACC-245,Homo Sapiens,Male,White,56,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00924,SIDS00101,SIDP00083,,ChaGo-K-1,,Lung,Other Solid Cancers,C35875,Tumour,Bronchus,Bronchogenic Carcinoma,Cell Line,Adherent,,,,,,,MSS,2.13539469,2.264273616,,76.05,,,687596,ACH-000867,CHAGOK1_LUNG,CVCL_1121,,ATCC:HTB-168,ATCC,HTB-168,Homo Sapiens,Male,Unknown,45,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00949,SIDS00495,SIDP00432,,DEL,,Haematopoietic and Lymphoid,T-Cell Non-Hodgkin's Lymphoma,C3720,Metastasis,Pleural Effusion,Anaplastic Large Cell Lymphoma,Cell Line,Suspension,,,,1987,,,MSS,3.232636805,3.295134354,,29,,,906836,ACH-000233,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1170,,DSMZ:ACC-338,DSMZ,ACC-338,Homo Sapiens,Male,Unknown,12,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00969,SIDS00438,SIDP00375,,DOV13,,Ovary,Ovarian Carcinoma,C7700,Unknown,Unknown,Ovarian Adenocarcinoma,Cell Line,Adherent,,,,,,,MSS,1.900867432,1.922062839,,34.34,,,1479987,,,CVCL_6774,,,,,Homo Sapiens,Female,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00970,SIDS00437,SIDP00374,,DSH1,,Bladder,Bladder Carcinoma,C4912,Unknown,Unknown,Bladder Carcinoma,Cell Line,Adherent,,,,,,,MSS,3.439289372,3.513052459,,29.74,,,753552,ACH-002235,DSH1_URINARY_TRACT,CVCL_1182,,,,,Homo Sapiens,Male,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01007,SIDS00548,SIDP00482,,KARPAS-45,T-45,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,C7953,Tumour,Unknown,Childhood T Acute Lymphoblastic Leukemia,Cell Line,Suspension,,,,1972,,,MSI,3.680622722,3.803164646,,467.55,,,907272,ACH-002256,KARPAS45_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1326,,ECACC:6072602,ECACC,6072602,Homo Sapiens,Male,Unknown,2,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01005,SIDS00550,SIDP00484,,KASUMI-1,,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,C9381,Tumour,Peripheral blood,Childhood Acute Myeloid Leukemia with Maturation,Cell Line,Suspension,,,,1989,,,MSS,1.928838491,2.014788965,,26.71,,,907275,ACH-000263,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_0589,,DSMZ:ACC-220,DSMZ,ACC-220,Homo Sapiens,Male,East Asian,7,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01009,SIDS00553,SIDP00487,,KELLY,NB19;NB19-RIKEN,Peripheral Nervous System,Neuroblastoma,C3270,Tumour,Unknown,Neuroblastoma,Cell Line,Adherent,,,,,,,MSS,1.994437367,2.140777349,,28.55,,,753618,ACH-000259,KELLY_AUTONOMIC_GANGLIA,CVCL_2092,,DSMZ:ACC-355,DSMZ,ACC-355,Homo Sapiens,Female,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01018,SIDS00554,SIDP00488,,KM-H2,,Haematopoietic and Lymphoid,Hodgkin's Lymphoma,C9357,Metastasis,Pleural effusion,Hodgkin's Lymphoma,Cell Line,Suspension,,,,,,,MSS,2.863161805,2.928420856,,77.45,,,909976,ACH-000815,KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1330,,DSMZ:ACC-8,DSMZ,ACC-8,Homo Sapiens,Male,Unknown,37,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01024,SIDS00568,SIDP00501,,KYSE-70,KY70,Esophagus,Esophageal Squamous Cell Carcinoma,C4024,Tumour,Middle intrathoracic oesophagus,Esophageal Squamous Cell Carcinoma,Cell Line,Adherent,,,,,,,MSS,2.440495263,2.740608648,,57.11,,,753576,ACH-000784,KYSE70_OESOPHAGUS,CVCL_1356,,DSMZ:ACC-363,DSMZ,ACC-363,Homo Sapiens,Male,East Asian,77,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00925,SIDS00301,SIDP00248,,NCI-H441,NCI-H441-4;NCI-441,Lung,Non-Small Cell Lung Carcinoma,C5650,Metastasis,Pericardial fluid,Papillary Lung Adenocarcinoma,Cell Line,Adherent,,,,1982,,,MSS,2.670447857,2.788821267,,58.21,,,908460,ACH-000638,NCIH441_LUNG,CVCL_1561,,ATCC:HTB-174,ATCC,HTB-174,Homo Sapiens,Male,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00965,SIDS00302,SIDP00249,,NCI-H446,NCI-446,Lung,Small Cell Lung Carcinoma,C4917,Metastasis,Pleural effusion,Small Cell Lung Carcinoma,Cell Line,Semi-Adherent,,,,1982,,,MSS,3.113513859,3.091555976,,78.45,,,688023,ACH-000800,NCIH446_LUNG,CVCL_1562,,ATCC:HTB-171,ATCC,HTB-171,Homo Sapiens,Male,White,61,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00927,SIDS00303,SIDP00250,,NCI-H510A,,Lung,Small Cell Lung Carcinoma,C4917,Metastasis,Adrenal Gland,Small Cell Lung Carcinoma,Cell Line,Semi-Adherent,,,,1982,,,MSS,2.689424648,2.832204692,,121.84,,,753605,ACH-000871,NCIH510_LUNG,CVCL_1565,,ATCC:HTB-184,ATCC,HTB-184,Homo Sapiens,Male,White,56,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01000,SIDS00427,SIDP00368,,WM-115,WM115F;WM115-mel;WC00079,Skin,Melanoma,C3224,Tumour,Unknown,Melanoma,Cell Line,Adherent,,,,,,,MSS,1.95655635,1.995086396,,45.66,,"WM115, WM266-4, WM239A and WM165-1 were all derived from the same patient. ;;WM115 cell line originated from the primary tumor, and WM239A, WM165-1 and WM266-4 were from individual lymph-node metastases (Rockland). ",909784,ACH-000304,WM115_SKIN,CVCL_0040,,Rockland:WM115,Rockland,WM115,Homo Sapiens,Female,Unknown,55,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00976,SIDS00431,SIDP00369,,WM1552C,EST73,Skin,Melanoma,C3224,Tumour,Unknown,Melanoma,Cell Line,Adherent,,,,,,,MSS,2.00704583,2.096881614,,28.21,,,1299078,ACH-002205,WM1552C_SKIN,CVCL_6472,,Rockland:WM1552C,Rockland,WM1552C,Homo Sapiens,Male,Unknown,72,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00973,SIDS00434,SIDP00372,,WM793B,WC00062,Skin,Melanoma,C3224,Metastasis,Unknown,Melanoma,Cell Line,Adherent,,,,,,,MSS,2.147145077,2.341764141,,62.42,,1205Lu was dervied by serial passaging of WM793 through immune deficient mice and harvesting lung metastases (DOI: 10.4172/1948-5956.1000401).,1299081,ACH-000827,WM793_SKIN,CVCL_8787,,ATCC:CRL-2806,ATCC,CRL-2806,Homo Sapiens,Male,Unknown,37,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01231,SIDS00671,SIDP00599,SIDM00307,GT3TKB,,Lung,Squamous Cell Lung Carcinoma,C3493,Tumour,Unknown,Squamous Cell Lung Carcinoma,Cell Line,Adherent,,,,,,,,2.22837676,,,,,GT3TKB has been shown to be cross contaminated with cell line RERF-LC-AI (PMID: 16643607).,907041,ACH-002122,GT3TKB_STOMACH,CVCL_1237,,RIKEN:RCB0885,RIKEN,RCB0885,Homo Sapiens,Male,East Asian,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01256,SIDS00816,SIDP00729,SIDM00121,CEMC1,,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,C7953,Tumour,Unknown,Childhood T Acute Lymphoblastic Leukemia,Cell Line,Suspension,Camptothecin,,,,,,,,,,,,"CEM/C1 is a camptothecin resistant derivative of the human T cell leukemia cell line CCRF CEM.;CEM/C2 is a multi drug resistant derivative of the human T cell leukemia cell line CCRF CEM.;AGR-ON is a derivative of CEM-AG, itself a derivative of CCRF-CEM, selected for ability to produce CSF (ATCC).",,,,CVCL_3496,,ATCC:CRL-2265,ATCC,CRL-2265,Homo Sapiens,Female,White,4,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01250,SIDS00816,SIDP00729,SIDM00121,CEMC2,,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,C7953,Tumour,Unknown,Childhood T Acute Lymphoblastic Leukemia,Cell Line,Suspension,Camptothecin,,,,,,,,,,,,"CEM/C1 is a camptothecin resistant derivative of the human T cell leukemia cell line CCRF CEM.;CEM/C2 is a multi drug resistant derivative of the human T cell leukemia cell line CCRF CEM.;AGR-ON is a derivative of CEM-AG, itself a derivative of CCRF-CEM, selected for ability to produce CSF (ATCC).",,,,CVCL_3497,,ATCC:CRL-2264,ATCC,CRL-2264,Homo Sapiens,Female,White,4,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01258,SIDS00785,SIDP00703,SIDM01234,RWPE2-W99,,Prostate,Non-Cancerous,C33414,Normal,Prostate,Non-Cancerous,Cell Line,Unknown,Transformed (Ki-MuSV),,,,,,,,,,,,RWPE-2 was derived from RWPE-1 by transformation with Ki-ras using the Kirsten murine sarcoma virus.;RWPE2-W99 cell line was derived from the RWPE-2 by cloning in soft agar to select cells that show high expression of Ki-ras (ATCC). ;WPE1-NA22 cells were derived from RWPE-1 cells by exposure to N-methyl-N-nitrosourea (ATCC).,1331028,,,CVCL_3793,,ATCC:CRL-2853,ATCC,CRL-2853,Homo Sapiens,Male,White,54,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00452,SIDS01139,SIDP01026,,PA-TU-8988S,PATU-S,Pancreas,Pancreatic Carcinoma,C8294,Metastasis,Liver,Pancreatic Adenocarcinoma,Cell Line,Adherent,,,,1985,,,,,,,,,"PA-TU-8988T and PA-TU-8988S are sister cell lines established from the same patient (DSMZ, PMID:1348891).",1298527,ACH-000022,PATU8988S_PANCREAS,CVCL_1846,,DSMZ:ACC-204,DSMZ,ACC-204,Homo Sapiens,Female,Unknown,64,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00682,SIDS00183,SIDP00148,,LN-Z308,LN-308,Central Nervous System,Glioma,C60781,Tumour,Unknown,Astrocytoma,Cell Line,Adherent,,,,,,,,,,,,,LNZTA3WT4 was derived from the glioblastoma cell line LN-Z308 (ATCC).,,ACH-000760,LNZ308_CENTRAL_NERVOUS_SYSTEM,CVCL_0394,,unknown:unknown,unknown,unknown,Homo Sapiens,Male,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00804,SIDS00060,SIDP00046,,143B,143B TK-;143TK-;HOS-143B;GM05887,Bone,Osteosarcoma,C9145,Tumour,Unknown,Osteosarcoma,Cell Line,Adherent,,,,,,,,,,,,,HOS and 143B originated from the same patient: 143B is TK- and originated indirectly from HOS which is TK+ (ECACC & PMID: 20544518). ;HTK- and 143B have a common STR profile and are thought to be the same cell line (ECACC).,906796,ACH-001001,143B_BONE,CVCL_2270,,ECACC:91112502,ECACC,91112502,Homo Sapiens,Female,White,13,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00840,SIDS00025,SIDP00019,,SW480,SW480E,Large Intestine,Colorectal Carcinoma,C4349,Tumour,Lymph node,Colon Adenocarcinoma,Cell Line,Adherent,,,,,,,,,,,,,SW480 was derived from the primary adenocarcinoma of the colon.;;SW620 was derived the following year from a lymph node metastasis in the same patient (ATCC).,,ACH-000842,SW480_LARGE_INTESTINE,CVCL_0546,,ATCC:CCL-228,ATCC,CCL-228,Homo Sapiens,Male,White,50,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00891,SIDS00087,SIDP00070,,Caco-2,Caco-2/ATCC,Large Intestine,Colorectal Carcinoma,C4349,Tumour,Colon,Colon Adenocarcinoma,Cell Line,Adherent,,,,1988,,,,,,,,,The C2BBe1 (brush border expressing) cell line was cloned in 1988 from the Caco 2 cell line (ATCC).,1290729,ACH-000003,CACO2_LARGE_INTESTINE,CVCL_0025,,ATCC:HTB-37,ATCC,HTB-37,Homo Sapiens,Male,White,72,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
